CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;LC;17910;D;6;0;;2.64336;0.33110;0.17368;Azul;551;1;0
1;LC;17910;D;6;0;;2.64336;0.33110;0.17368;Laranja;565;1;0
1;LC;18848;B;6;0;;3.48455;0.76589;0.20727;Branca;553;0;0
1;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Rosa;513;0;0
1;LC;25684;A;7;0;;2.98071;1.31605;0.19041;Rosa;554;1;0
1;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Amarela;512;0;0
1;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Laranja;521;0;0
1;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Verde;525;0;1
1;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Branca;514;1;0
1;LC;40270;D;7;0;;3.22121;0.98521;0.20723;Rosa;554;0;0
1;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Rosa;513;1;0
1;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Azul;511;0;0
1;LC;55170;A;5;0;;1.78899;0.13258;0.14052;Amarela;552;1;0
1;LC;77968;A;6;0;;2.96408;0.85341;0.17738;Amarela;552;0;0
1;LC;86116;E;5;0;;2.45918;0.54702;0.21337;Azul;551;0;0
1;LC;86116;E;5;0;;2.45918;0.54702;0.21337;Laranja;565;0;0
1;LC;87810;B;6;0;;2.22466;0.47559;0.19743;Branca;553;1;0
1;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Azul;511;1;0
1;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Branca;514;0;0
1;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Amarela;512;1;0
1;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Laranja;521;1;0
1;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Verde;525;1;1
2;LC;18848;B;6;0;;3.48455;0.76589;0.20727;Rosa;554;0;0
2;LC;25684;A;7;0;;2.98071;1.31605;0.19041;Azul;551;1;0
2;LC;25684;A;7;0;;2.98071;1.31605;0.19041;Laranja;565;1;0
2;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Branca;514;0;0
2;LC;32839;B;8;0;;2.92684;0.84376;0.17977;Amarela;552;1;0
2;LC;39016;C;7;0;;3.76151;0.92828;0.14061;Rosa;513;1;0
2;LC;40270;D;7;0;;3.22121;0.98521;0.20723;Azul;551;0;0
2;LC;40270;D;7;0;;3.22121;0.98521;0.20723;Laranja;565;0;0
2;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Amarela;512;1;0
2;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Laranja;521;1;0
2;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Verde;525;1;1
2;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Azul;511;0;0
2;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Rosa;513;0;0
2;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Amarela;512;0;0
2;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Laranja;521;0;0
2;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Verde;525;0;1
2;LC;55170;A;5;0;;1.78899;0.13258;0.14052;Branca;553;1;0
2;LC;87810;B;6;0;;2.22466;0.47559;0.19743;Rosa;554;1;0
2;LC;96705;A;8;0;;3.62651;0.79268;0.10430;Branca;514;1;0
2;LC;98030;B;8;0;;3.12924;0.93933;0.20486;Amarela;552;0;0
2;LC;98030;B;8;0;;3.12924;0.93933;0.20486;Branca;553;0;0
